id;set;series;publisher;generation;release_date;name;set_num;rarity;nationalPokedexNumbers
base1-33;Base;Base;WOTC;First;1/9/1999;Kakuna;33;Uncommon;[14]
base1-34;Base;Base;WOTC;First;1/9/1999;Machoke;34;Uncommon;[67]
base1-35;Base;Base;WOTC;First;1/9/1999;Magikarp;35;Uncommon;[129]
base1-36;Base;Base;WOTC;First;1/9/1999;Magmar;36;Uncommon;[126]
base1-37;Base;Base;WOTC;First;1/9/1999;Nidorino;37;Uncommon;[33]
base1-38;Base;Base;WOTC;First;1/9/1999;Poliwhirl;38;Uncommon;[61]
base1-39;Base;Base;WOTC;First;1/9/1999;Porygon;39;Uncommon;[137]
base1-40;Base;Base;WOTC;First;1/9/1999;Raticate;40;Uncommon;[20]
base1-41;Base;Base;WOTC;First;1/9/1999;Seel;41;Uncommon;[86]
base1-42;Base;Base;WOTC;First;1/9/1999;Wartortle;42;Uncommon;[8]
base1-43;Base;Base;WOTC;First;1/9/1999;Abra;43;Common;[63]
base1-44;Base;Base;WOTC;First;1/9/1999;Bulbasaur;44;Common;[1]
base1-45;Base;Base;WOTC;First;1/9/1999;Caterpie;45;Common;[10]
base1-46;Base;Base;WOTC;First;1/9/1999;Charmander;46;Common;[4]
base1-47;Base;Base;WOTC;First;1/9/1999;Diglett;47;Common;[50]
base1-48;Base;Base;WOTC;First;1/9/1999;Doduo;48;Common;[84]
base1-49;Base;Base;WOTC;First;1/9/1999;Drowzee;49;Common;[96]
base1-50;Base;Base;WOTC;First;1/9/1999;Gastly;50;Common;[92]
base1-51;Base;Base;WOTC;First;1/9/1999;Koffing;51;Common;[109]
base1-52;Base;Base;WOTC;First;1/9/1999;Machop;52;Common;[66]
base1-53;Base;Base;WOTC;First;1/9/1999;Magnemite;53;Common;[81]
base1-54;Base;Base;WOTC;First;1/9/1999;Metapod;54;Common;[11]
base1-55;Base;Base;WOTC;First;1/9/1999;Nidoran ♂;55;Common;[32]
base1-56;Base;Base;WOTC;First;1/9/1999;Onix;56;Common;[95]
base1-57;Base;Base;WOTC;First;1/9/1999;Pidgey;57;Common;[16]
base1-58;Base;Base;WOTC;First;1/9/1999;Pikachu;58;Common;[25]
base1-59;Base;Base;WOTC;First;1/9/1999;Poliwag;59;Common;[60]
base1-60;Base;Base;WOTC;First;1/9/1999;Ponyta;60;Common;[77]
base1-61;Base;Base;WOTC;First;1/9/1999;Rattata;61;Common;[19]
base1-62;Base;Base;WOTC;First;1/9/1999;Sandshrew;62;Common;[27]
base1-63;Base;Base;WOTC;First;1/9/1999;Squirtle;63;Common;[7]
base1-64;Base;Base;WOTC;First;1/9/1999;Starmie;64;Common;[121]
base1-65;Base;Base;WOTC;First;1/9/1999;Staryu;65;Common;[120]
base1-66;Base;Base;WOTC;First;1/9/1999;Tangela;66;Common;[114]
base1-67;Base;Base;WOTC;First;1/9/1999;Voltorb;67;Common;[100]
base1-68;Base;Base;WOTC;First;1/9/1999;Vulpix;68;Common;[37]
base1-69;Base;Base;WOTC;First;1/9/1999;Weedle;69;Common;[13]
base1-70;Base;Base;WOTC;First;1/9/1999;Clefairy Doll;70;Rare;
base1-71;Base;Base;WOTC;First;1/9/1999;Computer Search;71;Rare;
base1-72;Base;Base;WOTC;First;1/9/1999;Devolution Spray;72;Rare;
base1-73;Base;Base;WOTC;First;1/9/1999;Impostor Professor Oak;73;Rare;
base1-74;Base;Base;WOTC;First;1/9/1999;Item Finder;74;Rare;
base1-75;Base;Base;WOTC;First;1/9/1999;Lass;75;Rare;
base1-76;Base;Base;WOTC;First;1/9/1999;Pokémon Breeder;76;Rare;
base1-77;Base;Base;WOTC;First;1/9/1999;Pokémon Trader;77;Rare;
base1-78;Base;Base;WOTC;First;1/9/1999;Scoop Up;78;Rare;
base1-79;Base;Base;WOTC;First;1/9/1999;Super Energy Removal;79;Rare;
base1-80;Base;Base;WOTC;First;1/9/1999;Defender;80;Uncommon;
base1-81;Base;Base;WOTC;First;1/9/1999;Energy Retrieval;81;Uncommon;
base1-82;Base;Base;WOTC;First;1/9/1999;Full Heal;82;Uncommon;
base1-83;Base;Base;WOTC;First;1/9/1999;Maintenance;83;Uncommon;
base1-84;Base;Base;WOTC;First;1/9/1999;PlusPower;84;Uncommon;
base1-85;Base;Base;WOTC;First;1/9/1999;Pokémon Center;85;Uncommon;
base1-86;Base;Base;WOTC;First;1/9/1999;Pokémon Flute;86;Uncommon;
base1-87;Base;Base;WOTC;First;1/9/1999;Pokédex;87;Uncommon;
base1-88;Base;Base;WOTC;First;1/9/1999;Professor Oak;88;Uncommon;
base1-89;Base;Base;WOTC;First;1/9/1999;Revive;89;Uncommon;
base1-90;Base;Base;WOTC;First;1/9/1999;Super Potion;90;Uncommon;
base1-91;Base;Base;WOTC;First;1/9/1999;Bill;91;Common;
base1-92;Base;Base;WOTC;First;1/9/1999;Energy Removal;92;Common;
base1-93;Base;Base;WOTC;First;1/9/1999;Gust of Wind;93;Common;
base1-94;Base;Base;WOTC;First;1/9/1999;Potion;94;Common;
base1-95;Base;Base;WOTC;First;1/9/1999;Switch;95;Common;
base1-96;Base;Base;WOTC;First;1/9/1999;Double Colorless Energy;96;Uncommon;
base1-97;Base;Base;WOTC;First;1/9/1999;Fighting Energy;97;;
base1-98;Base;Base;WOTC;First;1/9/1999;Fire Energy;98;;
base1-99;Base;Base;WOTC;First;1/9/1999;Grass Energy;99;;
base1-100;Base;Base;WOTC;First;1/9/1999;Lightning Energy;100;;
base1-101;Base;Base;WOTC;First;1/9/1999;Psychic Energy;101;;
base1-102;Base;Base;WOTC;First;1/9/1999;Water Energy;102;;
base2-1;Jungle;Base;WOTC;First;6/16/1999;Clefable;1;Rare Holo;[36]
base2-2;Jungle;Base;WOTC;First;6/16/1999;Electrode;2;Rare Holo;[101]
base2-3;Jungle;Base;WOTC;First;6/16/1999;Flareon;3;Rare Holo;[136]
base2-4;Jungle;Base;WOTC;First;6/16/1999;Jolteon;4;Rare Holo;[135]
base2-5;Jungle;Base;WOTC;First;6/16/1999;Kangaskhan;5;Rare Holo;[115]
base2-6;Jungle;Base;WOTC;First;6/16/1999;Mr. Mime;6;Rare Holo;[122]
base2-7;Jungle;Base;WOTC;First;6/16/1999;Nidoqueen;7;Rare Holo;[31]
base2-8;Jungle;Base;WOTC;First;6/16/1999;Pidgeot;8;Rare Holo;[18]
base2-9;Jungle;Base;WOTC;First;6/16/1999;Pinsir;9;Rare Holo;[127]
base2-10;Jungle;Base;WOTC;First;6/16/1999;Scyther;10;Rare Holo;[123]
base2-11;Jungle;Base;WOTC;First;6/16/1999;Snorlax;11;Rare Holo;[143]
base2-12;Jungle;Base;WOTC;First;6/16/1999;Vaporeon;12;Rare Holo;[134]
base2-13;Jungle;Base;WOTC;First;6/16/1999;Venomoth;13;Rare Holo;[49]
base2-14;Jungle;Base;WOTC;First;6/16/1999;Victreebel;14;Rare Holo;[71]
base2-15;Jungle;Base;WOTC;First;6/16/1999;Vileplume;15;Rare Holo;[45]
base2-16;Jungle;Base;WOTC;First;6/16/1999;Wigglytuff;16;Rare Holo;[40]
base2-17;Jungle;Base;WOTC;First;6/16/1999;Clefable;17;Rare;[36]
base2-18;Jungle;Base;WOTC;First;6/16/1999;Electrode;18;Rare;[101]
base2-19;Jungle;Base;WOTC;First;6/16/1999;Flareon;19;Rare;[136]
base2-20;Jungle;Base;WOTC;First;6/16/1999;Jolteon;20;Rare;[135]
base2-21;Jungle;Base;WOTC;First;6/16/1999;Kangaskhan;21;Rare;[115]
base2-22;Jungle;Base;WOTC;First;6/16/1999;Mr. Mime;22;Rare;[122]
base2-23;Jungle;Base;WOTC;First;6/16/1999;Nidoqueen;23;Rare;[31]
base2-24;Jungle;Base;WOTC;First;6/16/1999;Pidgeot;24;Rare;[18]
base2-25;Jungle;Base;WOTC;First;6/16/1999;Pinsir;25;Rare;[127]
base2-26;Jungle;Base;WOTC;First;6/16/1999;Scyther;26;Rare;[123]
base2-27;Jungle;Base;WOTC;First;6/16/1999;Snorlax;27;Rare;[143]
base2-28;Jungle;Base;WOTC;First;6/16/1999;Vaporeon;28;Rare;[134]
base2-29;Jungle;Base;WOTC;First;6/16/1999;Venomoth;29;Rare;[49]
base2-30;Jungle;Base;WOTC;First;6/16/1999;Victreebel;30;Rare;[71]
base2-31;Jungle;Base;WOTC;First;6/16/1999;Vileplume;31;Rare;[45]
base2-32;Jungle;Base;WOTC;First;6/16/1999;Wigglytuff;32;Rare;[40]
base2-33;Jungle;Base;WOTC;First;6/16/1999;Butterfree;33;Uncommon;[12]
base2-34;Jungle;Base;WOTC;First;6/16/1999;Dodrio;34;Uncommon;[85]
base2-35;Jungle;Base;WOTC;First;6/16/1999;Exeggutor;35;Uncommon;[103]
base2-36;Jungle;Base;WOTC;First;6/16/1999;Fearow;36;Uncommon;[22]
base2-37;Jungle;Base;WOTC;First;6/16/1999;Gloom;37;Uncommon;[44]
base2-38;Jungle;Base;WOTC;First;6/16/1999;Lickitung;38;Uncommon;[108]
base2-39;Jungle;Base;WOTC;First;6/16/1999;Marowak;39;Uncommon;[105]
base2-40;Jungle;Base;WOTC;First;6/16/1999;Nidorina;40;Uncommon;[30]
base2-41;Jungle;Base;WOTC;First;6/16/1999;Parasect;41;Uncommon;[47]
base2-42;Jungle;Base;WOTC;First;6/16/1999;Persian;42;Uncommon;[53]
base2-43;Jungle;Base;WOTC;First;6/16/1999;Primeape;43;Uncommon;[57]
base2-44;Jungle;Base;WOTC;First;6/16/1999;Rapidash;44;Uncommon;[78]
base2-45;Jungle;Base;WOTC;First;6/16/1999;Rhydon;45;Uncommon;[112]
base2-46;Jungle;Base;WOTC;First;6/16/1999;Seaking;46;Uncommon;[119]
base2-47;Jungle;Base;WOTC;First;6/16/1999;Tauros;47;Uncommon;[128]
base2-48;Jungle;Base;WOTC;First;6/16/1999;Weepinbell;48;Uncommon;[70]
base2-49;Jungle;Base;WOTC;First;6/16/1999;Bellsprout;49;Common;[69]
base2-50;Jungle;Base;WOTC;First;6/16/1999;Cubone;50;Common;[104]
base2-51;Jungle;Base;WOTC;First;6/16/1999;Eevee;51;Common;[133]
base2-52;Jungle;Base;WOTC;First;6/16/1999;Exeggcute;52;Common;[102]
base2-53;Jungle;Base;WOTC;First;6/16/1999;Goldeen;53;Common;[118]
base2-54;Jungle;Base;WOTC;First;6/16/1999;Jigglypuff;54;Common;[39]
base2-55;Jungle;Base;WOTC;First;6/16/1999;Mankey;55;Common;[56]
base2-56;Jungle;Base;WOTC;First;6/16/1999;Meowth;56;Common;[52]
base2-57;Jungle;Base;WOTC;First;6/16/1999;Nidoran ♀;57;Common;[29]
base2-58;Jungle;Base;WOTC;First;6/16/1999;Oddish;58;Common;[43]
base2-59;Jungle;Base;WOTC;First;6/16/1999;Paras;59;Common;[46]
base2-60;Jungle;Base;WOTC;First;6/16/1999;Pikachu;60;Common;[25]
base2-61;Jungle;Base;WOTC;First;6/16/1999;Rhyhorn;61;Common;[111]
base2-62;Jungle;Base;WOTC;First;6/16/1999;Spearow;62;Common;[21]
base2-63;Jungle;Base;WOTC;First;6/16/1999;Venonat;63;Common;[48]
base2-64;Jungle;Base;WOTC;First;6/16/1999;Poké Ball;64;Common;
basep-1;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Pikachu;1;Promo;[25]
basep-2;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Electabuzz;2;Promo;[125]
basep-3;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Mewtwo;3;Promo;[150]
basep-4;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Pikachu;4;Promo;[25]
basep-5;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Dragonite;5;Promo;[149]
basep-6;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Arcanine;6;Promo;[59]
basep-7;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Jigglypuff;7;Promo;[39]
basep-8;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Mew;8;Promo;[151]
basep-9;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Mew;9;Promo;[151]
basep-10;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Meowth;10;Promo;[52]
basep-11;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Eevee;11;Promo;[133]
basep-12;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Mewtwo;12;Promo;[150]
basep-13;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Venusaur;13;Promo;[3]
basep-14;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Mewtwo;14;Promo;[150]
basep-15;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Cool Porygon;15;Promo;[137]
basep-16;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Computer Error;16;Promo;
basep-17;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Dark Persian;17;Promo;[53]
basep-18;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Team Rocket's Meowth;18;Promo;[52]
basep-19;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Sabrina's Abra;19;Promo;[63]
basep-20;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Psyduck;20;Promo;[54]
basep-21;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Moltres;21;Promo;[146]
basep-22;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Articuno;22;Promo;[144]
basep-23;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Zapdos;23;Promo;[145]
basep-24;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;_____'s Pikachu;24;Promo;[25]
basep-25;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Flying Pikachu;25;Promo;[25]
basep-26;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Pikachu;26;Promo;[25]
basep-27;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Pikachu;27;Promo;[25]
basep-28;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Surfing Pikachu;28;Promo;[25]
basep-29;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Marill;29;Promo;[183]
basep-30;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Togepi;30;Promo;[175]
basep-31;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Cleffa;31;Promo;[173]
basep-32;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Smeargle;32;Promo;[235]
basep-33;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Scizor;33;Promo;[212]
basep-34;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Entei;34;Promo;[244]
basep-35;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Pichu;35;Promo;[172]
basep-36;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Igglybuff;36;Promo;[174]
basep-37;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Hitmontop;37;Promo;[237]
basep-38;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Unown [J];38;Promo;[201]
basep-39;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Misdreavus;39;Promo;[200]
basep-40;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Pokémon Center;40;Promo;
basep-41;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Lucky Stadium;41;Promo;
basep-42;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Pokémon Tower;42;Promo;
basep-43;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Machamp;43;Promo;[68]
basep-44;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Magmar;44;Promo;[126]
basep-45;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Scyther;45;Promo;[123]
basep-46;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Electabuzz;46;Promo;[125]
basep-47;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Mew;47;Promo;[151]
basep-48;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Articuno;48;Promo;[144]
basep-49;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Snorlax;49;Promo;[143]
basep-50;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Celebi;50;Promo;[251]
basep-51;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Rapidash;51;Promo;[78]
basep-52;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Ho-oh;52;Promo;[250]
basep-53;Wizards Black Star Promos;Base;WOTC;First;7/1/1999;Suicune;53;Promo;[245]
base3-1;Fossil;Base;WOTC;First;10/10/1999;Aerodactyl;1;Rare Holo;[142]
base3-2;Fossil;Base;WOTC;First;10/10/1999;Articuno;2;Rare Holo;[144]
base3-3;Fossil;Base;WOTC;First;10/10/1999;Ditto;3;Rare Holo;[132]
base3-4;Fossil;Base;WOTC;First;10/10/1999;Dragonite;4;Rare Holo;[149]
base3-5;Fossil;Base;WOTC;First;10/10/1999;Gengar;5;Rare Holo;[94]
base3-6;Fossil;Base;WOTC;First;10/10/1999;Haunter;6;Rare Holo;[93]
base3-7;Fossil;Base;WOTC;First;10/10/1999;Hitmonlee;7;Rare Holo;[106]
base3-8;Fossil;Base;WOTC;First;10/10/1999;Hypno;8;Rare Holo;[97]
base3-9;Fossil;Base;WOTC;First;10/10/1999;Kabutops;9;Rare Holo;[141]
base3-10;Fossil;Base;WOTC;First;10/10/1999;Lapras;10;Rare Holo;[131]
base3-11;Fossil;Base;WOTC;First;10/10/1999;Magneton;11;Rare Holo;[82]
base3-12;Fossil;Base;WOTC;First;10/10/1999;Moltres;12;Rare Holo;[146]
base3-13;Fossil;Base;WOTC;First;10/10/1999;Muk;13;Rare Holo;[89]
base3-14;Fossil;Base;WOTC;First;10/10/1999;Raichu;14;Rare Holo;[26]
base3-15;Fossil;Base;WOTC;First;10/10/1999;Zapdos;15;Rare Holo;[145]
base3-16;Fossil;Base;WOTC;First;10/10/1999;Aerodactyl;16;Rare;[142]
base3-17;Fossil;Base;WOTC;First;10/10/1999;Articuno;17;Rare;[144]
base3-18;Fossil;Base;WOTC;First;10/10/1999;Ditto;18;Rare;[132]
base3-19;Fossil;Base;WOTC;First;10/10/1999;Dragonite;19;Rare;[149]
base3-20;Fossil;Base;WOTC;First;10/10/1999;Gengar;20;Rare;[94]
base3-21;Fossil;Base;WOTC;First;10/10/1999;Haunter;21;Rare;[93]
base3-22;Fossil;Base;WOTC;First;10/10/1999;Hitmonlee;22;Rare;[106]
base3-23;Fossil;Base;WOTC;First;10/10/1999;Hypno;23;Rare;[97]
base3-24;Fossil;Base;WOTC;First;10/10/1999;Kabutops;24;Rare;[141]
base3-25;Fossil;Base;WOTC;First;10/10/1999;Lapras;25;Rare;[131]
base3-26;Fossil;Base;WOTC;First;10/10/1999;Magneton;26;Rare;[82]
base3-27;Fossil;Base;WOTC;First;10/10/1999;Moltres;27;Rare;[146]
base3-28;Fossil;Base;WOTC;First;10/10/1999;Muk;28;Rare;[89]
base3-29;Fossil;Base;WOTC;First;10/10/1999;Raichu;29;Rare;[26]
base3-30;Fossil;Base;WOTC;First;10/10/1999;Zapdos;30;Rare;[145]
base3-31;Fossil;Base;WOTC;First;10/10/1999;Arbok;31;Uncommon;[24]
base3-32;Fossil;Base;WOTC;First;10/10/1999;Cloyster;32;Uncommon;[91]
base3-33;Fossil;Base;WOTC;First;10/10/1999;Gastly;33;Uncommon;[92]
base3-34;Fossil;Base;WOTC;First;10/10/1999;Golbat;34;Uncommon;[42]
base3-35;Fossil;Base;WOTC;First;10/10/1999;Golduck;35;Uncommon;[55]
base3-36;Fossil;Base;WOTC;First;10/10/1999;Golem;36;Uncommon;[76]
base3-37;Fossil;Base;WOTC;First;10/10/1999;Graveler;37;Uncommon;[75]
base3-38;Fossil;Base;WOTC;First;10/10/1999;Kingler;38;Uncommon;[99]
base3-39;Fossil;Base;WOTC;First;10/10/1999;Magmar;39;Uncommon;[126]
base3-40;Fossil;Base;WOTC;First;10/10/1999;Omastar;40;Uncommon;[139]
base3-41;Fossil;Base;WOTC;First;10/10/1999;Sandslash;41;Uncommon;[28]
base3-42;Fossil;Base;WOTC;First;10/10/1999;Seadra;42;Uncommon;[117]
base3-43;Fossil;Base;WOTC;First;10/10/1999;Slowbro;43;Uncommon;[80]
base3-44;Fossil;Base;WOTC;First;10/10/1999;Tentacruel;44;Uncommon;[73]
base3-45;Fossil;Base;WOTC;First;10/10/1999;Weezing;45;Uncommon;[110]
base3-46;Fossil;Base;WOTC;First;10/10/1999;Ekans;46;Common;[23]
base3-47;Fossil;Base;WOTC;First;10/10/1999;Geodude;47;Common;[74]
base3-48;Fossil;Base;WOTC;First;10/10/1999;Grimer;48;Common;[88]
base3-49;Fossil;Base;WOTC;First;10/10/1999;Horsea;49;Common;[116]
base3-50;Fossil;Base;WOTC;First;10/10/1999;Kabuto;50;Common;[140]
base3-51;Fossil;Base;WOTC;First;10/10/1999;Krabby;51;Common;[98]
base3-52;Fossil;Base;WOTC;First;10/10/1999;Omanyte;52;Common;[138]
base3-53;Fossil;Base;WOTC;First;10/10/1999;Psyduck;53;Common;[54]
base3-54;Fossil;Base;WOTC;First;10/10/1999;Shellder;54;Common;[90]
base3-55;Fossil;Base;WOTC;First;10/10/1999;Slowpoke;55;Common;[79]
base3-56;Fossil;Base;WOTC;First;10/10/1999;Tentacool;56;Common;[72]
base3-57;Fossil;Base;WOTC;First;10/10/1999;Zubat;57;Common;[41]
base3-58;Fossil;Base;WOTC;First;10/10/1999;Mr. Fuji;58;Uncommon;
base3-59;Fossil;Base;WOTC;First;10/10/1999;Energy Search;59;Common;
base3-60;Fossil;Base;WOTC;First;10/10/1999;Gambler;60;Common;
base3-61;Fossil;Base;WOTC;First;10/10/1999;Recycle;61;Common;
base3-62;Fossil;Base;WOTC;First;10/10/1999;Mysterious Fossil;62;Common;
base4-1;Base Set 2;Base;WOTC;First;2/24/2000;Alakazam;1;Rare Holo;[65]
base4-2;Base Set 2;Base;WOTC;First;2/24/2000;Blastoise;2;Rare Holo;[9]
base4-3;Base Set 2;Base;WOTC;First;2/24/2000;Chansey;3;Rare Holo;[113]
base4-4;Base Set 2;Base;WOTC;First;2/24/2000;Charizard;4;Rare Holo;[6]
base4-5;Base Set 2;Base;WOTC;First;2/24/2000;Clefable;5;Rare Holo;[36]
base4-6;Base Set 2;Base;WOTC;First;2/24/2000;Clefairy;6;Rare Holo;[35]
base4-7;Base Set 2;Base;WOTC;First;2/24/2000;Gyarados;7;Rare Holo;[130]
base4-8;Base Set 2;Base;WOTC;First;2/24/2000;Hitmonchan;8;Rare Holo;[107]
base4-9;Base Set 2;Base;WOTC;First;2/24/2000;Magneton;9;Rare Holo;[82]
base4-10;Base Set 2;Base;WOTC;First;2/24/2000;Mewtwo;10;Rare Holo;[150]
base4-11;Base Set 2;Base;WOTC;First;2/24/2000;Nidoking;11;Rare Holo;[34]
base4-12;Base Set 2;Base;WOTC;First;2/24/2000;Nidoqueen;12;Rare Holo;[31]
base4-13;Base Set 2;Base;WOTC;First;2/24/2000;Ninetales;13;Rare Holo;[38]
base4-14;Base Set 2;Base;WOTC;First;2/24/2000;Pidgeot;14;Rare Holo;[18]
base4-15;Base Set 2;Base;WOTC;First;2/24/2000;Poliwrath;15;Rare Holo;[62]
base4-16;Base Set 2;Base;WOTC;First;2/24/2000;Raichu;16;Rare Holo;[26]
base4-17;Base Set 2;Base;WOTC;First;2/24/2000;Scyther;17;Rare Holo;[123]
base4-18;Base Set 2;Base;WOTC;First;2/24/2000;Venusaur;18;Rare Holo;[3]
base4-19;Base Set 2;Base;WOTC;First;2/24/2000;Wigglytuff;19;Rare Holo;[40]
base4-20;Base Set 2;Base;WOTC;First;2/24/2000;Zapdos;20;Rare Holo;[145]
base4-21;Base Set 2;Base;WOTC;First;2/24/2000;Beedrill;21;Rare;[15]
base4-22;Base Set 2;Base;WOTC;First;2/24/2000;Dragonair;22;Rare;[148]
base4-23;Base Set 2;Base;WOTC;First;2/24/2000;Dugtrio;23;Rare;[51]
base4-24;Base Set 2;Base;WOTC;First;2/24/2000;Electabuzz;24;Rare;[125]
base4-25;Base Set 2;Base;WOTC;First;2/24/2000;Electrode;25;Rare;[101]
base4-26;Base Set 2;Base;WOTC;First;2/24/2000;Kangaskhan;26;Rare;[115]
base4-27;Base Set 2;Base;WOTC;First;2/24/2000;Mr. Mime;27;Rare;[122]
base4-28;Base Set 2;Base;WOTC;First;2/24/2000;Pidgeotto;28;Rare;[17]
base4-29;Base Set 2;Base;WOTC;First;2/24/2000;Pinsir;29;Rare;[127]
base4-30;Base Set 2;Base;WOTC;First;2/24/2000;Snorlax;30;Rare;[143]
base4-31;Base Set 2;Base;WOTC;First;2/24/2000;Venomoth;31;Rare;[49]
base4-32;Base Set 2;Base;WOTC;First;2/24/2000;Victreebel;32;Rare;[71]
base4-33;Base Set 2;Base;WOTC;First;2/24/2000;Arcanine;33;Uncommon;[59]
